[2025-11-20 12:17:06] [INFO] 3006_final_edits_add_FMU: Created geodatabase: S:\1845\6\03_MappingAnalysisData\02_Data\06_Hexagon_Production\working.gdb
[2025-11-20 12:17:10] [INFO] 3006_final_edits_add_FMU: Finished dissolve, starting intersect
[2025-11-20 13:03:29] [INFO] 3006_final_edits_add_FMU: Finished intersect with NSR
[2025-11-20 13:07:17] [INFO] 3006_final_edits_add_FMU: wrote HEX_FMU.csv
[2025-11-20 16:22:21] [INFO] 3006_final_edits_add_FMU: it takes 0.0 minutes to finish the script
[2025-11-20 16:22:25] [INFO] 3006_final_edits_add_FMU: it takes 0.0 minutes to finish the script
[2025-11-20 16:22:27] [INFO] 3006_final_edits_add_FMU: it takes 0.0 minutes to finish the script
[2025-11-20 16:22:33] [INFO] 3006_final_edits_add_FMU: it takes 0.0 minutes to finish the script
[2025-11-20 16:22:35] [INFO] 3006_final_edits_add_FMU: it takes 0.0 minutes to finish the script
[2025-11-20 16:22:40] [INFO] 3006_final_edits_add_FMU: it takes 0.0 minutes to finish the script
[2025-11-20 16:22:44] [INFO] 3006_final_edits_add_FMU: it takes 0.0 minutes to finish the script
[2025-11-20 16:22:46] [INFO] 3006_final_edits_add_FMU: Processing grid: A20
[2025-11-20 16:22:46] [INFO] 3006_final_edits_add_FMU: it takes 0.0 minutes to finish the script
[2025-11-20 16:23:14] [INFO] 3006_final_edits_add_FMU: Processing grid: B2
[2025-11-20 16:23:16] [INFO] 3006_final_edits_add_FMU: Finished grid: B2
[2025-11-20 16:23:16] [INFO] 3006_final_edits_add_FMU: Processing grid: B20
[2025-11-20 16:23:22] [INFO] 3006_final_edits_add_FMU: Finished grid: B20
[2025-11-20 16:23:22] [INFO] 3006_final_edits_add_FMU: Processing grid: B21
[2025-11-20 16:23:25] [INFO] 3006_final_edits_add_FMU: Finished grid: A20
[2025-11-20 16:23:25] [INFO] 3006_final_edits_add_FMU: Processing grid: A21
[2025-11-20 16:23:30] [INFO] 3006_final_edits_add_FMU: Finished grid: B21
[2025-11-20 16:23:30] [INFO] 3006_final_edits_add_FMU: Processing grid: B22
[2025-11-20 16:23:38] [INFO] 3006_final_edits_add_FMU: Processing grid: B34
[2025-11-20 16:23:39] [INFO] 3006_final_edits_add_FMU: Finished grid: B22
[2025-11-20 16:23:39] [INFO] 3006_final_edits_add_FMU: Processing grid: B23
[2025-11-20 16:23:48] [INFO] 3006_final_edits_add_FMU: Finished grid: B23
[2025-11-20 16:23:48] [INFO] 3006_final_edits_add_FMU: Processing grid: B24
[2025-11-20 16:23:57] [INFO] 3006_final_edits_add_FMU: Finished grid: B24
[2025-11-20 16:23:57] [INFO] 3006_final_edits_add_FMU: Processing grid: B25
[2025-11-20 16:24:05] [INFO] 3006_final_edits_add_FMU: Processing grid: C26
[2025-11-20 16:24:08] [INFO] 3006_final_edits_add_FMU: Finished grid: B25
[2025-11-20 16:24:08] [INFO] 3006_final_edits_add_FMU: Processing grid: B26
[2025-11-20 16:24:18] [INFO] 3006_final_edits_add_FMU: Finished grid: B26
[2025-11-20 16:24:18] [INFO] 3006_final_edits_add_FMU: Processing grid: B27
[2025-11-20 16:24:27] [INFO] 3006_final_edits_add_FMU: Finished grid: B27
[2025-11-20 16:24:27] [INFO] 3006_final_edits_add_FMU: Processing grid: B28
[2025-11-20 16:24:37] [INFO] 3006_final_edits_add_FMU: Finished grid: B28
[2025-11-20 16:24:37] [INFO] 3006_final_edits_add_FMU: Processing grid: B29
[2025-11-20 16:24:39] [INFO] 3006_final_edits_add_FMU: Finished grid: A21
[2025-11-20 16:24:39] [INFO] 3006_final_edits_add_FMU: Processing grid: A22
[2025-11-20 16:24:40] [INFO] 3006_final_edits_add_FMU: Processing grid: C8
[2025-11-20 16:24:46] [INFO] 3006_final_edits_add_FMU: Finished grid: B29
[2025-11-20 16:24:46] [INFO] 3006_final_edits_add_FMU: Processing grid: B3
[2025-11-20 16:24:52] [INFO] 3006_final_edits_add_FMU: Finished grid: B3
[2025-11-20 16:24:52] [INFO] 3006_final_edits_add_FMU: Processing grid: B30
[2025-11-20 16:25:02] [INFO] 3006_final_edits_add_FMU: Finished grid: B30
[2025-11-20 16:25:02] [INFO] 3006_final_edits_add_FMU: Processing grid: B31
[2025-11-20 16:25:08] [INFO] 3006_final_edits_add_FMU: Processing grid: D32
[2025-11-20 16:25:12] [INFO] 3006_final_edits_add_FMU: Finished grid: B31
[2025-11-20 16:25:12] [INFO] 3006_final_edits_add_FMU: Processing grid: B32
[2025-11-20 16:25:21] [INFO] 3006_final_edits_add_FMU: Finished grid: B32
[2025-11-20 16:25:21] [INFO] 3006_final_edits_add_FMU: Processing grid: B33
[2025-11-20 16:25:27] [INFO] 3006_final_edits_add_FMU: Finished grid: B34
[2025-11-20 16:25:27] [INFO] 3006_final_edits_add_FMU: Processing grid: B35
[2025-11-20 16:25:28] [INFO] 3006_final_edits_add_FMU: Finished grid: B33
[2025-11-20 16:25:42] [INFO] 3006_final_edits_add_FMU: Processing grid: E21
[2025-11-20 16:25:59] [INFO] 3006_final_edits_add_FMU: Finished grid: C8
[2025-11-20 16:25:59] [INFO] 3006_final_edits_add_FMU: Processing grid: D1
[2025-11-20 16:26:04] [INFO] 3006_final_edits_add_FMU: Processing grid: E36
[2025-11-20 16:26:11] [INFO] 3006_final_edits_add_FMU: Finished grid: A22
[2025-11-20 16:26:11] [INFO] 3006_final_edits_add_FMU: Processing grid: A23
[2025-11-20 16:26:18] [INFO] 3006_final_edits_add_FMU: Finished grid: E36
[2025-11-20 16:26:18] [INFO] 3006_final_edits_add_FMU: Processing grid: E37
[2025-11-20 16:26:29] [INFO] 3006_final_edits_add_FMU: Processing grid: F24
[2025-11-20 16:26:33] [INFO] 3006_final_edits_add_FMU: Finished grid: E37
[2025-11-20 16:26:33] [INFO] 3006_final_edits_add_FMU: Processing grid: E38
[2025-11-20 16:26:44] [INFO] 3006_final_edits_add_FMU: Finished grid: E38
[2025-11-20 16:26:44] [INFO] 3006_final_edits_add_FMU: Processing grid: E39
[2025-11-20 16:26:44] [INFO] 3006_final_edits_add_FMU: Finished grid: E39
